"m",13,1902
"m",2,19099
"m",4,8692
"m",1,38091
"m",32,406
"m",3,12237
"m",47,218
"m",5,6642
"m",14,1615
"m",8,3598
"m",24,696
"m",22,857
"m",11,2416
"m",30,466
"m",6,5352
"m",18,1158
"m",20,946
"m",12,2069
"m",7,4231
"m",21,896
"m",48,177
"m",69,69
"m",15,1568
"m",94,34
"m",49,179
"m",16,1328
"m",40,253
"m",9,3132
"m",75,63
"m",34,368
"m",10,2708
"m",33,390
"m",23,732
"m",17,1206
"m",63,112
"m",43,221
"m",159,7
"m",73,75
"m",79,42
"m",45,211
"m",46,207
"m",58,113
"m",60,114
"m",27,566
"m",175,8
"m",84,36
"m",50,154
"m",29,490
"m",25,662
"m",19,998
"m",54,145
"m",35,333
"m",66,96
"m",89,43
"m",298,2
"m",74,70
"m",37,301
"m",264,2
"m",72,77
"m",133,14
"m",31,418
"m",107,25
"m",112,16
"m",28,520
"m",82,61
"m",44,226
"m",39,271
"m",92,36
"m",147,12
"m",26,624
"m",53,160
"m",52,140
"m",67,93
"m",57,116
"m",128,15
"m",127,12
"m",59,129
"m",56,144
"m",61,104
"m",36,320
"m",113,22
"m",97,31
"m",42,244
"m",87,55
"m",191,2
"m",105,24
"m",151,11
"m",100,30
"m",41,251
"m",119,17
"m",77,59
"m",250,2
"m",83,56
"m",86,34
"m",101,29
"m",208,3
"m",144,8
"m",296,1
"m",68,94
"m",178,6
"m",80,61
"m",180,6
"m",210,5
"m",106,38
"m",51,145
"m",64,98
"m",38,292
"m",81,54
"m",124,14
"m",249,2
"m",55,145
"m",103,27
"m",104,29
"m",198,5
"m",70,87
"m",142,7
"m",90,39
"m",91,42
"m",427,1
"m",167,7
"m",98,24
"m",65,73
"m",129,23
"m",212,3
"m",71,95
"m",76,63
"m",102,21
"m",62,99
"m",132,15
"m",221,2
"m",125,18
"m",93,40
"m",95,39
"m",96,37
"m",158,14
"m",126,13
"m",190,4
"m",122,30
"m",149,16
"m",157,5
"m",306,1
"m",169,6
"m",184,3
"m",88,41
"m",117,23
"m",171,13
"m",139,8
"m",411,1
"m",130,17
"m",138,15
"m",115,22
"m",118,18
"m",131,14
"m",213,4
"m",120,25
"m",238,2
"m",150,11
"m",143,11
"m",121,21
"m",78,60
"m",114,17
"m",251,3
"m",220,3
"m",123,21
"m",307,2
"m",179,10
"m",195,4
"m",177,2
"m",240,3
"m",185,5
"m",111,28
"m",99,33
"m",146,13
"m",85,42
"m",109,23
"m",566,1
"m",170,10
"m",205,4
"m",116,19
"m",1069,1
"m",183,8
"m",231,3
"m",267,3
"m",137,12
"m",145,11
"m",206,6
"m",988,1
"m",186,5
"m",161,9
"m",289,2
"m",380,1
"m",134,17
"m",141,12
"m",252,1
"m",204,4
"m",381,1
"m",135,11
"m",110,17
"m",255,2
"m",164,6
"m",154,10
"m",165,11
"m",302,1
"m",197,6
"m",344,1
"m",217,5
"m",182,7
"m",194,7
"m",272,2
"m",187,3
"m",341,1
"m",148,5
"m",346,1
"m",162,5
"m",181,2
"m",174,6
"m",172,7
"m",259,1
"m",246,1
"m",241,6
"m",209,2
"m",233,3
"m",140,8
"m",108,20
"m",155,7
"m",166,8
"m",256,3
"m",239,3
"m",201,4
"m",193,2
"m",173,1
"m",192,4
"m",308,1
"m",589,2
"m",314,3
"m",295,2
"m",293,3
"m",254,3
"m",338,2
"m",152,6
"m",282,1
"m",274,2
"m",335,1
"m",202,3
"m",188,3
"m",229,1
"m",160,3
"m",211,1
"m",244,4
"m",234,2
"m",408,2
"m",222,4
"m",156,5
"m",214,3
"m",318,1
"m",265,5
"m",311,2
"m",223,4
"m",153,6
"m",315,1
"m",136,9
"m",216,4
"m",398,1
"m",163,5
"m",294,2
"m",260,2
"m",189,2
"m",419,1
"m",329,1
"m",225,1
"m",257,4
"m",168,4
"m",291,1
"m",370,1
"m",228,1
"m",313,1
"m",614,1
"m",288,4
"m",176,3
"m",626,1
"m",292,1
"m",442,1
"m",409,1
"m",203,3
"m",377,1
"m",196,4
"m",331,3
"m",312,1
"m",200,2
"m",245,2
"m",273,1
"m",280,1
"m",224,4
"m",215,2
"m",445,1
"m",396,1
"m",247,1
"m",227,3
"m",448,1
"m",343,1
"m",232,2
"m",235,1
"m",199,2
"m",325,1
"m",253,1
"m",511,1
"m",243,1
"m",242,2
"m",263,1
"m",310,1
"m",277,1
"m",379,1
"m",387,1
"m",248,2
"m",301,1
"m",270,1
"m",297,1
"m",376,1
"m",285,2
"m",447,1
"m",336,1
"m",417,1
"m",207,1
"m",400,1
"m",574,1
"m",361,1
"m",226,1
"m",269,1
"m",219,1
"m",236,1
"m",303,1
"m",261,1
"f",3,6601
"f",6,3307
"f",1,17505
"f",4,5005
"f",5,4021
"f",2,9704
"f",7,2673
"f",12,1297
"f",8,2274
"f",56,54
"f",26,310
"f",15,894
"f",9,2000
"f",37,171
"f",25,387
"f",24,386
"f",14,1059
"f",67,34
"f",10,1654
"f",48,82
"f",16,854
"f",13,1184
"f",19,590
"f",32,211
"f",23,401
"f",11,1544
"f",22,462
"f",20,497
"f",36,153
"f",18,660
"f",21,469
"f",87,14
"f",17,703
"f",115,5
"f",42,123
"f",29,263
"f",64,43
"f",101,13
"f",28,305
