"m",33,42777,36093
"m",45,34193,28667
"m",32,42264,35927
"m",41,38686,32389
"m",44,34930,29330
"m",49,28561,24469
"m",27,33060,28955
"m",40,39955,33156
"m",43,36328,30284
"m",31,41520,35339
"m",48,30526,25864
"m",46,32691,27585
"m",25,26741,23600
"m",56,19363,17140
"m",53,23069,20117
"m",55,20627,18218
"m",38,41301,34373
"m",23,18993,16850
"m",35,43376,36268
"m",61,13404,12225
"m",36,43015,35962
"m",28,36041,31149
"m",34,43142,36426
"m",37,42376,35399
"m",30,39856,34080
"m",39,40787,33999
"m",21,12095,10903
"m",29,37914,32871
"m",16,3981,3632
"m",47,31198,26383
"m",19,7107,6429
"m",18,5243,4784
"m",9,2569,2335
"m",17,4278,3900
"m",22,15264,13689
"m",51,26257,22559
"m",54,21830,19112
"m",74,4140,3840
"m",60,14610,13142
"m",76,3057,2878
"m",52,24672,21354
"m",58,16604,14870
"m",42,37766,31393
"m",20,9390,8443
"m",26,30041,26395
"m",15,4014,3631
"m",12,3911,3555
"m",14,4154,3681
"m",10,3017,2777
"m",8,2091,1925
"m",11,3515,3209
"m",57,17959,15996
"m",24,22855,20328
"m",50,27216,23308
"m",59,15736,14124
"m",66,9041,8334
"m",62,12288,11233
"m",65,9874,9037
"m",68,7347,6793
"m",67,8113,7479
"m",72,4977,4615
"m",64,10461,9577
"m",81,1706,1612
"m",69,6752,6274
"m",90,487,445
"m",78,2518,2380
"m",71,5505,5084
"m",79,2273,2118
"m",63,11303,10359
"m",7,1593,1453
"m",70,5798,5373
"m",73,4403,4096
"m",77,2702,2520
"m",82,1609,1503
"m",83,1376,1258
"m",87,749,691
"m",86,879,801
"m",2,216,201
"m",98,167,150
"m",75,3432,3169
"m",3,280,272
"m",6,1121,1022
"m",4,485,459
"m",13,4175,3747
"m",80,2008,1867
"m",89,543,503
"m",1,143,134
"m",5,725,672
"m",91,481,442
"m",96,220,209
"m",92,376,349
"m",85,1038,962
"m",95,260,244
"m",88,653,599
"m",94,332,301
"m",97,197,182
"m",84,1166,1046
"m",93,327,300
"m",109,40,37
"m",106,79,73
"m",103,107,96
"m",99,130,119
"m",107,47,42
"m",100,156,145
"m",102,107,96
"m",104,101,84
"m",101,122,113
"m",112,14,14
"m",110,18,17
"m",108,58,51
"m",105,60,58
"m",111,26,23
"m",113,16,14
"m",114,4,4
"m",115,1,1
"f",19,12861,11880
"f",21,20370,18472
"f",14,2665,2479
"f",17,6208,5871
"f",9,1730,1631
"f",16,4243,3996
"f",50,6722,6406
"f",22,23284,21042
"f",31,21465,19735
"f",29,24168,22167
"f",32,19916,18335
"f",33,18342,17052
"f",18,8991,8371
"f",25,27542,24915
"f",40,11277,10616
"f",44,9143,8687
"f",42,10318,9751
"f",30,22940,21001
"f",23,25452,23193
"f",27,26609,24229
"f",56,4817,4613
"f",52,6056,5792
"f",51,6466,6178
"f",24,26970,24472
"f",46,8277,7865
"f",28,25609,23317
"f",26,27216,24658
"f",45,8761,8320
"f",38,12780,11982
"f",60,3799,3677
"f",62,3393,3291
"f",47,7769,7406
"f",43,9384,8858
"f",49,7139,6821
"f",35,16115,15021
"f",48,7545,7219
"f",37,13744,12827
"f",57,4582,4400
"f",54,5472,5242
"f",34,16986,15818
"f",63,3106,3013
"f",53,5833,5587
"f",55,5271,5047
"f",58,4294,4133
"f",41,10732,10075
"f",61,3641,3517
"f",36,14724,13755
"f",20,16913,15474
"f",15,3081,2904
"f",64,2862,2777
"f",12,2201,2067
"f",75,1214,1188
"f",66,2520,2424
"f",72,1625,1566
"f",85,394,381
"f",39,11881,11173
"f",13,2212,2086
"f",10,1906,1808
"f",11,2131,1996
"f",68,2232,2163
"f",59,4007,3871
"f",8,1427,1346
"f",5,575,549
"f",6,845,802
"f",7,1238,1181
"f",69,2042,1968
"f",65,2617,2520
"f",67,2383,2310
"f",70,1916,1846
"f",81,690,671
"f",83,560,543
"f",74,1356,1315
"f",71,1749,1700
"f",73,1494,1455
"f",3,231,222
"f",79,902,874
"f",86,417,408
"f",78,913,876
"f",82,577,564
"f",77,1090,1052
"f",76,1138,1098
"f",96,70,68
"f",84,499,484
"f",87,341,327
"f",80,829,807
"f",91,160,152
"f",88,252,246
"f",90,203,193
"f",2,157,132
"f",4,347,326
"f",89,246,235
"f",92,132,131
"f",1,133,112
"f",100,49,48
"f",93,102,100
"f",98,50,49
"f",99,44,41
"f",94,80,79
"f",97,54,51
"f",95,75,73
"f",106,21,19
"f",103,21,20
"f",107,16,15
"f",102,37,33
"f",108,17,13
"f",104,17,16
"f",109,9,8
"f",101,32,30
"f",105,22,20
"f",111,8,8
"f",110,8,7
"f",113,3,3
"f",115,2,1
"f",114,1,1
"f",112,4,4
